FID,DOCUMENT_N,CRASH_YEAR,CRASH_DT,CRASH_MILI,CRASH_SEVE,K_PEOPLE,A_PEOPLE,B_PEOPLE,C_PEOPLE,PERSONS_IN,PEDESTRIAN,PEDESTRI_1,VEH_COUNT,COLLISION_,WEATHER_CO,LIGHT_COND,ROADWAY_SU,RELATION_T,ROADWAY_AL,ROADWAY__1,ROADWAY_DE,ROADWAY__2,INTERSECTI,TRAFFIC_CO,TRFC_CTRL_,WORK_ZONE_,WORK_ZONE1,WORK_ZON_1,SCHOOL_ZON,FIRST_HARM,FIRST_HA_1,ALCOHOL_NO,ANIMAL,BELTED_UNB,BIKE_NONBI,DISTRACTED,DROWSY_NOT,DRUG_NODRU,GR_NOGR,HITRUN_NOT,LGTRUCK_NO,MOTOR_NONM,PED_NONPED,SPEED_NOTS,SPEED_DIFF,RD_TYPE,INTERSEC_1,SENIOR_NOT,YOUNG_NOTY,MAINLINE_Y,NIGHT,VDOT_DISTR,JURIS_CODE,PHYSICAL_J,FUN,FAC,AREA_TYPE,SYSTEM,VSP,OWNERSHIP,PLAN_DISTR,MPO_NAME,RTE_NM,RNS_MP,NODE,OFFSET,countfield,month
0,171105108,2017,2017/4/20 0:00:00,905,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,0,NOT_RD,Urban Intersection,No,No,Yes,No,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001NB,89.840000000000003,209592,4.880000000000000,1,4
1,172285183,2017,2017/8/16 0:00:00,1200,B,0,0,2,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,3. Traffic Signal,1. Yes - Working,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,0,NOT_RD,VDOT Intersection,Yes,Yes,Yes,No,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001NB,90.510000000000005,209591,10.260000000000000,1,8
2,172735200,2017,2017/9/29 0:00:00,701,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,Yes,No,No,No,0,NOT_RD,Urban Intersection,Yes,No,Yes,No,4. Richmond,127,127. City of Richmond,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   SR00161SB,1.380000000000000,209595,63.880000000000003,1,9
3,170125005,2017,2017/1/11 0:00:00,2052,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,Yes,Yes,No,No,No,0,NOT_RD,Urban Intersection,No,No,Yes,Yes,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00360EB,138.949999999999989,209585,92.560000000000002,1,1
4,172435011,2017,2017/8/30 0:00:00,2224,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,6. No Traffic Control Device Present,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,0,NOT_RD,Not Intersection,No,No,Yes,Yes,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001SB,88.420000000000002,209595,307.730000000000018,1,8
5,170545034,2017,2017/2/22 0:00:00,2229,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,0,NOT_RD,Urban Intersection,No,No,Yes,Yes,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001SB,89.840000000000003,209592,49.030000000000001,1,2
6,173145436,2017,2017/11/10 0:00:00,1950,A,0,1,0,1,2,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",3. Three Approaches,6. Traffic Lanes Marked,6. No Traffic Control Device Present,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,0,NOT_RD,Urban Intersection,No,No,Yes,Yes,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001SB,88.540000000000006,1045268,88.469999999999999,1,11
7,170935041,2017,2017/4/2 0:00:00,2359,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No, , ,3. No,20. Motor Vehicle In Transport,1. On Roadway,Yes,No,Belted,No,No,No,No,No,Yes,No,Yes,No,No,0,NOT_RD,Urban Intersection,No,No,Yes,Yes,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001SB,91.500000000000000,209585,73.000000000000000,1,4
8,171475101,2017,2017/5/27 0:00:00,1000,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),1. Dawn,1. Dry,1. Main-Line Roadway,1. Straight - Level,1. Concrete,1. No Defects,5. Unknown,2. Two Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No, , ,3. No,10. Other,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,0,NOT_RD,Urban Intersection,No,Yes,Yes,No,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001NB,90.790000000000006,729778,26.520000000000000,1,5
9,173325416,2017,2017/11/28 0:00:00,1840,A,0,1,0,0,1,0,0,1,6. Fixed Object in Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No, , ,3. No,3. Utility Pole,2. Shoulder,No,No,Unbelted,No,No,No,Yes,No,No,No,No,No,No,0,NOT_RD,Urban Intersection,No,No,Yes,Yes,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   US00001NB,89.510000000000005,1045906,63.649999999999999,1,11
